,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
83,cape town,0,CL,1578095495,28,-36.41,-71.9,86.0,13.87
84,seydi,41,NE,1578095259,25,13.34,7.75,54.3,11.07
85,humaita,75,AR,1578095496,57,-24.93,-65.37,80.6,5.82
86,arkadelphia,90,US,1578095496,82,34.12,-93.05,59.0,5.82
87,ternate,20,PH,1578095496,73,14.29,120.72,75.2,5.82
88,east london,53,UG,1578095497,59,3.43,31.7,74.44,1.97
89,lasa,40,CY,1578095497,81,34.92,32.53,48.2,6.93
90,saskylakh,91,RU,1578095497,97,71.97,114.09,-15.83,6.22
91,shalinskoye,11,RU,1578095497,77,55.72,93.76,20.05,11.1
92,hobart,92,AU,1578095497,24,-42.88,147.33,82.0,6.93
93,bredasdorp,11,ZA,1578095497,68,-34.53,20.04,69.8,2.24
94,gwadar,0,PK,1578095497,72,25.12,62.33,71.8,10.56
95,san pedro,21,ML,1578095422,14,13.3,-4.9,60.37,9.84
96,atuona,4,PF,1578095498,71,-9.8,-139.03,80.64,14.97
97,thompson,90,CA,1578095498,92,55.74,-97.86,12.2,6.93
98,abha,24,SA,1578095258,76,18.22,42.5,57.2,2.95
99,laguna,40,BZ,1578095498,78,16.17,-88.94,80.6,3.04
100,codrington,0,AU,1578095498,45,-28.95,153.24,82.99,6.93
101,kapaa,75,US,1578095340,69,22.08,-159.32,78.8,18.34
102,ngorongoro,62,TZ,1578095499,81,-3.24,35.49,59.18,4.52
103,palembang,65,ID,1578095499,89,-2.99,104.76,77.16,6.06
104,neyshabur,11,IR,1578095499,65,36.21,58.79,35.37,6.58
105,arraial do cabo,72,BR,1578095499,64,-22.84,-46.65,71.6,16.11
106,nikolskoye,75,RU,1578095344,75,59.7,30.79,41.0,11.18
107,tuatapere,100,NZ,1578095238,66,-46.13,167.69,53.01,18.99
108,nantucket,75,US,1578095500,93,41.28,-70.1,46.4,9.17
109,rio grande,90,US,1578095500,86,41.11,-90.4,35.01,5.82
110,monte santo,90,FR,1578095500,81,42.47,9.39,55.4,5.82
111,changji,100,CN,1578095500,93,32.07,116.17,44.13,2.48
112,luganville,40,VU,1578095370,74,-15.51,167.18,84.2,8.05
113,jalu,8,LY,1578095501,85,29.03,21.55,47.8,10.38
114,mount gambier,40,GB,1578095501,87,53.66,-1.85,46.0,17.22
115,tazovskiy,100,RU,1578095329,95,67.47,78.7,0.25,13.91
116,newtownards,100,GB,1578095501,93,54.59,-5.69,44.01,12.75
117,alta floresta,87,NO,1578095501,92,69.97,23.27,28.4,1.12
118,kendari,100,ID,1578095501,95,-3.99,122.52,76.77,0.45
119,comodoro rivadavia,98,BR,1578095502,96,-13.66,-59.79,71.92,0.34
120,mococa,69,BR,1578095502,83,-21.46,-47.0,71.6,10.29
121,brae,100,GB,1578095417,64,60.4,-1.35,39.2,25.28
122,auki,73,NG,1578095502,20,12.18,6.51,60.15,18.1
123,zalantun,0,CN,1578095502,86,48.0,122.72,-0.38,4.9
124,vardo,90,US,1578095502,93,39.62,-77.74,50.0,3.36
125,tagusao,94,PH,1578095503,80,9.19,117.81,77.07,2.35
126,somanda,100,TZ,1578095503,79,-3.37,33.95,66.9,5.39
127,goderich,34,CA,1578095503,85,43.74,-81.71,37.0,5.01
128,luderitz,0,NA,1578095363,56,-26.65,15.16,68.0,17.22
129,udachnyy,7,RU,1578095503,82,66.42,112.4,-18.4,2.24
130,hamilton,90,CA,1578095475,80,43.26,-79.87,43.0,4.7
131,tuktoyaktuk,40,CA,1578095238,75,69.44,-133.03,-20.2,12.75
132,bushehr,100,IR,1578095504,64,28.97,50.84,67.21,3.44
133,cherskiy,33,RU,1578095504,66,68.75,161.3,1.65,10.76
134,illapel,0,CL,1578095504,67,-31.63,-71.17,58.37,3.18
135,gamba,64,CN,1578095505,82,28.28,88.52,5.14,3.02
136,puksoozero,100,RU,1578095505,97,62.59,40.61,35.35,15.55
137,doha,0,QA,1578095505,83,25.29,51.53,71.6,10.29
138,plettenberg bay,100,DE,1578095505,93,51.21,7.87,43.0,6.93
139,lima,33,PE,1578095315,78,-12.06,-77.04,73.4,17.22
140,ulladulla,0,AU,1578095505,30,-35.36,150.48,100.99,5.82
141,saint-philippe,90,CA,1578095506,100,45.36,-73.48,39.99,3.36
142,ponta do sol,8,BR,1578095506,66,-0.53,-65.05,78.49,2.1
143,kamaishi,75,JP,1578095506,58,39.28,141.86,32.0,2.24
144,dumas,15,IN,1578095506,87,21.09,72.71,59.0,5.82
145,port elizabeth,84,CD,1578095491,68,-7.04,29.76,78.13,4.52
146,samarai,59,PG,1578095506,63,-10.62,150.67,86.29,3.13
147,askiz,62,RU,1578095507,73,53.13,90.53,15.96,5.97
148,lerwick,75,GB,1578095507,80,60.15,-1.15,39.2,23.04
149,taiyuan,8,CN,1578095507,79,37.86,112.56,21.2,2.24
150,olavarria,2,AR,1578095507,81,-36.89,-60.32,69.03,8.32
151,sisimiut,86,GL,1578095326,77,66.94,-53.67,9.54,3.87
152,dikson,46,RU,1578095508,94,73.51,80.55,-7.37,15.5
153,sulangan,81,PH,1578095508,78,11.14,123.72,80.65,13.62
154,gorom-gorom,0,BF,1578095508,19,14.45,-0.24,57.56,11.99
155,korem,79,ET,1578095508,80,12.51,39.52,55.67,4.36
156,araouane,84,ML,1578095508,25,18.9,-3.53,56.52,11.5
157,mar del plata,79,CN,1578095508,88,29.86,90.73,4.8,2.37
158,port hedland,84,CD,1578095508,68,-7.04,29.76,78.13,4.52
159,yar-sale,93,RU,1578095509,96,66.83,70.83,8.19,9.33
160,torres,8,BR,1578095271,80,-29.34,-49.73,73.02,24.99
161,ola,100,RU,1578095509,74,59.58,151.3,18.73,40.0
162,whitianga,63,NZ,1578095509,59,-36.83,175.7,69.01,15.99
163,lagoa,20,PT,1578095509,76,37.14,-8.45,53.01,4.7
164,ribeira grande,90,PT,1578095509,100,41.76,-8.56,53.6,2.24
165,santa eulalia del rio,25,PH,1578095509,76,17.49,120.43,69.73,4.41
166,tamworth,0,AU,1578095510,24,-31.09,150.93,93.2,11.41
167,chulman,100,RU,1578095510,99,56.84,124.9,-4.85,1.86
168,aklavik,75,CA,1578095403,68,68.22,-135.01,-14.8,10.29
169,makakilo city,40,US,1578095262,61,21.35,-158.09,80.6,10.29
170,broome,81,GB,1578095511,80,52.47,1.45,41.0,11.41
171,acapulco,40,MX,1578095442,65,16.86,-99.88,82.4,6.93
172,marsa matruh,90,FR,1578095511,93,42.82,2.16,55.0,9.17
173,catia la mar,75,VE,1578095511,78,10.52,-66.95,82.4,4.7
174,loandjili,40,CG,1578095511,88,-4.77,11.87,80.6,3.36
175,avarua,0,CK,1578095511,69,-21.21,-159.78,82.4,14.99
176,labytnangi,97,RU,1578095512,99,66.66,66.39,-0.72,3.36
177,nuevo progreso,0,AR,1578095512,57,-27.5,-58.79,78.8,5.82
178,victoria,75,BN,1578095310,83,5.28,115.24,80.6,2.24
179,kalabo,98,ZM,1578095512,79,-15.0,22.67,70.65,2.73
180,cabedelo,20,BR,1578095512,78,-6.97,-34.84,80.6,8.05
181,concordia,0,AR,1578095512,48,-31.4,-58.02,79.0,3.0
182,mahon,75,IE,1578095513,87,51.89,-8.4,43.0,9.17
183,wajima,75,JP,1578095513,86,37.4,136.9,33.8,1.12
184,leningradskiy,27,RU,1578095513,75,69.38,178.42,-6.83,14.0
185,dudinka,40,RU,1578095513,77,69.41,86.18,-2.2,15.66
186,port macquarie,84,CD,1578095483,68,-7.04,29.76,78.13,4.52
187,vostok,11,RU,1578095513,94,46.45,135.83,-11.16,4.7
188,vao,61,EE,1578095514,75,59.1,26.19,33.24,8.19
189,parabel,26,RU,1578095514,95,58.71,81.5,8.37,7.61
190,swellendam,71,ZA,1578095514,68,-34.02,20.44,69.8,2.24
191,pimentel,100,BR,1578095514,95,-3.7,-45.5,75.79,4.03
192,cerro de pasco,40,BR,1578095514,73,-27.07,-48.71,77.0,8.05
193,sabha,0,LY,1578095515,72,27.03,14.43,45.18,5.73
194,ambulu,58,ID,1578095515,77,-8.35,113.61,83.25,23.2
195,beloha,14,MG,1578095515,90,-25.17,45.06,72.55,10.0
196,rocha,7,UY,1578095515,90,-34.48,-54.34,60.8,6.26
197,kalmunai,9,LK,1578095515,75,7.42,81.82,81.7,9.48
198,college,1,US,1578095515,75,64.86,-147.8,-20.2,3.49
199,takoradi,37,GH,1578095516,53,4.89,-1.75,79.3,1.5
200,fez,13,MA,1578095516,93,34.03,-5.02,41.0,10.29
201,hambantota,15,LK,1578095516,84,6.12,81.12,78.73,14.16
202,grand river south east,90,FR,1578095516,100,48.39,5.49,48.2,2.24
203,kodiak,1,US,1578095226,60,39.95,-94.76,39.99,9.17
204,beringovskiy,0,RU,1578095517,78,63.05,179.32,-9.11,17.96
205,lata,29,IN,1578095517,78,30.78,78.62,2.5,8.75
206,tadine,6,NC,1578095517,54,-21.55,167.88,80.49,11.03
207,saint-augustin,90,CA,1578095517,86,45.63,-73.98,39.99,4.7
208,clyde river,100,NZ,1578095517,51,-45.19,169.32,64.99,5.99
209,saldanha,5,PT,1578095517,94,41.42,-6.55,40.15,3.49
210,emerald,75,AU,1578095518,51,-23.53,148.16,82.4,10.29
211,flin flon,90,FR,1578095518,100,48.5,6.66,48.2,2.24
212,inverness,84,GB,1578095518,81,57.48,-4.23,46.0,12.75
213,cayenne,40,GF,1578095518,78,4.94,-52.33,80.6,6.93
214,rentina,0,GR,1578095518,47,40.66,23.61,39.99,2.24
215,san roque,21,ML,1578095323,14,13.3,-4.9,60.37,9.84
216,abeokuta,99,NG,1578095519,56,7.16,3.35,73.4,9.17
217,leh,100,IN,1578095466,75,34.16,77.58,-0.51,3.69
218,fairbanks,1,US,1578095404,75,64.84,-147.72,-9.0,2.46
219,fare,93,PF,1578095519,76,-16.7,-151.02,81.75,10.69
220,upernavik,100,GL,1578095327,99,72.79,-56.15,-11.67,17.27
221,zhuhai,0,CN,1578095520,84,40.71,112.04,-0.4,4.47
222,porlamar,20,VE,1578095520,78,10.96,-63.85,82.4,5.77
223,san javier,21,ML,1578095323,14,13.3,-4.9,60.37,9.84
224,qiongshan,20,CN,1578095520,93,20.01,110.35,64.4,2.24
225,atar,100,MR,1578095521,18,20.52,-13.05,57.72,12.41
226,qaanaaq,100,GL,1578095521,96,77.48,-69.36,-41.4,5.35
227,otane,45,NZ,1578095521,66,-39.89,176.62,60.49,10.54
228,iwanai,100,JP,1578095521,82,42.97,140.51,19.31,4.9
229,itarema,97,BR,1578095521,82,-2.92,-39.92,79.52,6.11
230,balkanabat,31,TM,1578095521,75,39.51,54.36,36.1,4.38
231,ilulissat,100,GL,1578095522,48,69.22,-51.1,17.6,1.12
232,nhulunbuy,40,AU,1578095522,59,-12.18,136.78,89.6,9.17
233,sorong,78,ID,1578095522,90,-0.86,131.25,80.28,5.75
234,dulce nombre de culmi,1,US,1578095522,63,36.93,-107.0,26.6,1.39
235,phan rang,17,TH,1578095522,100,19.55,99.74,62.6,1.25
236,cap-chat,87,CA,1578095522,93,49.1,-66.68,23.32,5.12
237,matara,95,BI,1578095428,83,-3.48,29.48,57.97,3.4
238,mount hagen,40,GB,1578095501,87,53.66,-1.85,46.0,17.22
239,kaitangata,100,NZ,1578095270,69,-46.28,169.85,50.13,35.03
240,manicore,100,BR,1578095523,97,-5.81,-61.3,74.59,3.06
241,belyy yar,82,RU,1578095523,90,55.83,32.94,30.4,11.59
242,maldonado,0,UY,1578095523,77,-34.91,-54.96,69.8,11.41
243,tignere,0,CM,1578095523,33,7.37,12.65,61.59,1.68
244,tromso,75,NO,1578095524,91,69.65,18.96,32.0,14.99
245,sitka,9,US,1578095524,54,37.17,-99.65,39.99,6.49
246,vestmanna,27,FO,1578095524,76,62.16,-7.17,32.0,20.8
247,katherine,40,AU,1578095524,88,-14.47,132.26,78.8,8.05
248,paralimni,8,GR,1578095525,57,40.99,23.67,42.01,5.01
249,siuna,97,NI,1578095525,81,13.73,-84.78,73.09,1.57
250,serpa,3,PT,1578095525,87,37.94,-7.6,46.4,6.93
251,junin,90,PE,1578095525,93,-16.45,-71.58,55.4,6.29
252,hasaki,20,JP,1578095240,51,35.73,140.83,37.4,2.24
253,kensington,90,CA,1578095525,86,46.44,-63.64,35.01,3.36
254,cabo san lucas,51,ES,1578095525,100,43.18,-5.8,48.99,2.24
255,wonthaggi,8,AU,1578095526,61,-38.6,145.59,82.0,14.32
256,waipawa,45,NZ,1578095432,66,-39.94,176.59,60.49,10.54
257,maceio,33,BR,1578095521,88,-9.67,-35.74,77.0,6.93
258,kibala,80,TD,1578095526,34,9.11,18.35,66.2,9.17
259,fethiye,13,TR,1578095526,87,36.62,29.12,44.6,5.82
260,matam,96,SN,1578095526,32,15.66,-13.26,69.8,2.24
261,talara,7,PE,1578095526,100,-4.58,-81.27,62.6,18.34
262,booue,99,GA,1578095527,88,-0.09,11.94,74.91,3.27
263,buala,15,SB,1578095527,77,-8.15,159.59,83.84,6.24
264,ures,0,MX,1578095527,35,30.73,-112.95,68.0,5.99
265,urucara,88,BR,1578095527,74,-2.54,-57.76,75.34,2.86
266,vaasa,33,FI,1578095527,59,63.1,21.62,33.8,17.22
267,tezu,100,IN,1578095528,99,27.93,96.16,54.64,1.3
268,duldurga,16,RU,1578095528,83,50.67,113.59,2.95,3.65
269,lindi,100,TZ,1578095528,98,-10.0,39.71,72.75,2.57
270,tiksi,98,RU,1578095528,84,71.64,128.87,-17.68,7.2
271,termiz,4,AF,1578095529,93,37.23,67.28,39.2,9.17
272,tombouctou,23,ML,1578095529,20,16.77,-3.01,57.11,11.43
273,bilibino,7,RU,1578095529,58,68.06,166.44,-5.67,1.9
274,bani walid,0,YE,1578095529,73,16.02,42.93,78.42,6.46
275,salalah,20,OM,1578095530,60,17.01,54.1,71.6,4.7
276,kaeo,90,NZ,1578095530,62,-35.1,173.78,78.01,1.99
277,elizabeth city,40,US,1578095345,81,40.66,-74.21,48.99,6.42
278,tete,75,MZ,1578095531,94,-16.16,33.59,78.8,4.7
279,crestview,90,US,1578095531,93,30.76,-86.57,64.99,6.93
280,guerrero negro,40,AR,1578095531,57,-24.19,-65.45,80.6,3.36
281,camocim,100,BR,1578095531,84,-2.9,-40.84,78.89,6.69
282,longyearbyen,75,NO,1578095238,54,78.22,15.63,5.0,9.17
283,kavaratti,96,IN,1578095240,79,10.57,72.64,80.85,14.81
284,mahebourg,40,MU,1578095531,100,-20.41,57.7,75.2,3.36
285,tibati,0,CM,1578095532,27,6.47,12.63,65.32,5.79
286,hit,0,IQ,1578095532,60,33.64,42.83,51.46,3.69
287,pandan,100,PH,1578095532,81,11.72,122.09,79.16,24.36
288,iqaluit,75,CA,1578095532,84,63.75,-68.52,6.8,2.24
289,praia da vitoria,75,BR,1578095245,78,-20.25,-43.81,73.4,2.24
290,tarakan,100,ID,1578095532,85,3.3,117.63,77.29,6.55
291,viedma,0,AR,1578095532,46,-40.81,-62.99,77.47,24.27
292,tautira,75,PF,1578095533,70,-17.73,-149.15,86.0,20.8
293,perth,0,AU,1578095518,41,-31.95,115.86,62.01,20.8
294,harper,1,US,1578095533,37,30.3,-99.24,57.2,8.05
295,whitehorse,75,CA,1578095533,84,60.72,-135.06,6.01,8.05
296,molodizhne,81,UA,1578095534,84,45.01,34.06,36.88,4.72
297,porto santo,75,PT,1578095534,100,41.15,-8.61,53.6,2.24
298,scarborough,46,GB,1578095534,81,54.28,-0.41,44.01,11.41
299,north bend,18,NG,1578095534,31,4.97,7.66,74.12,3.98
300,norman wells,1,US,1578095280,46,35.22,-97.44,51.8,8.05
301,port-cartier,90,CA,1578095417,85,50.03,-66.88,21.99,4.7
302,san cristobal,21,ML,1578095422,14,13.3,-4.9,60.37,9.84
303,luau,100,CD,1578095535,98,-10.7,22.23,63.32,1.25
304,ixtapa,75,MX,1578095425,57,20.71,-105.21,75.2,6.93
305,kholm,20,AF,1578095535,84,36.69,67.7,39.2,2.24
306,gizo,75,IL,1578095366,50,31.8,34.94,53.6,17.22
307,alice springs,100,ZA,1578095535,97,-32.79,26.83,69.3,3.51
308,panama city,20,PA,1578095535,70,8.97,-79.53,84.2,11.41
309,geraldton,90,CA,1578095536,85,49.72,-86.95,15.8,3.36
310,kutum,1,SD,1578095536,41,14.2,24.66,51.04,5.21
311,pevek,33,RU,1578095536,60,69.7,170.27,-0.9,5.95
312,meulaboh,25,ID,1578095537,78,4.14,96.13,80.08,4.59
313,santa ana,25,PH,1578095537,76,17.49,120.43,69.73,4.41
314,turukhansk,100,RU,1578095537,96,65.8,87.96,-5.19,10.8
315,bonavista,95,CA,1578095537,83,48.65,-53.11,27.39,14.94
316,klobuck,90,PL,1578095537,80,50.9,18.94,36.0,16.11
317,robertsport,0,LR,1578095537,65,6.75,-11.37,81.75,5.73
318,vagur,81,FO,1578095537,62,61.47,-6.81,35.64,23.8
319,xixiang,65,CN,1578095537,82,22.58,113.87,66.0,8.05
320,charters towers,90,US,1578095538,100,38.57,-83.43,53.6,8.68
321,imbituba,75,BR,1578095538,100,-28.24,-48.67,71.6,18.34
322,hofn,72,IS,1578095538,58,64.25,-15.21,29.79,7.36
323,alpine,90,US,1578095538,80,43.07,-85.69,36.0,3.36
324,airai,93,TL,1578095249,81,-8.93,125.41,74.66,1.16
325,porto velho,75,PT,1578095538,100,41.15,-8.61,53.6,2.24
326,limbang,75,BN,1578095538,94,4.75,115.01,80.6,1.12
327,changde,100,CN,1578095539,79,29.04,111.68,44.8,2.35
328,aasiaat,100,GL,1578095539,60,68.71,-52.87,9.82,5.08
329,manassas,90,US,1578095442,93,38.75,-77.48,52.0,4.7
330,vila,49,IT,1578095539,92,45.18,8.4,39.99,6.93
331,mikhaylovka,3,RU,1578095539,87,52.96,103.29,5.77,2.08
332,mount isa,40,GB,1578095539,87,53.66,-1.85,46.0,17.22
333,portland,90,US,1578095046,86,43.66,-70.25,42.8,3.36
334,ibirama,79,BR,1578095540,84,-27.05,-49.52,66.94,3.2
335,sibu,75,MY,1578095540,94,2.29,111.83,75.2,2.24
336,hovd,75,NO,1578095277,80,63.83,10.7,41.0,35.57
337,payakumbuh,95,ID,1578095540,98,-0.23,100.63,67.37,2.19
338,jamame,73,SO,1578095540,82,0.07,42.75,81.73,19.08
339,joshimath,70,IN,1578095283,65,30.57,79.57,22.75,6.02
340,ahipara,98,NZ,1578095541,62,-35.17,173.16,78.01,1.99
341,dunedin,75,NZ,1578095541,52,-45.87,170.5,55.0,35.01
342,ucluelet,90,CA,1578095404,100,48.94,-125.55,52.0,22.39
343,grand gaube,90,FR,1578095541,100,48.39,5.49,48.2,2.24
344,srednekolymsk,9,RU,1578095542,74,67.46,153.71,-0.13,2.84
345,arona,13,IT,1578095542,65,45.76,8.56,41.0,6.93
346,yumen,0,CN,1578095542,62,40.29,97.04,14.2,0.31
347,arlit,0,NE,1578095542,29,18.74,7.39,53.98,12.88
348,tasiilaq,100,GL,1578095542,34,65.61,-37.64,19.4,9.17
349,ginir,28,ET,1578095542,76,7.14,40.71,59.07,4.56
350,igarka,98,RU,1578095543,96,67.47,86.57,-3.37,15.1
351,sampit,88,ID,1578095543,90,-2.54,112.95,76.23,2.35
352,beyneu,0,KZ,1578095543,68,45.32,55.19,27.97,5.12
353,mbandaka,59,CD,1578095543,52,0.05,18.26,68.05,1.54
354,chaman,1,AF,1578095543,83,30.92,66.46,41.99,5.77
355,tabas,97,IR,1578095543,45,33.6,56.92,55.4,2.24
356,trincomalee,6,LK,1578095543,97,8.58,81.23,72.73,1.05
357,mao,20,DO,1578095544,74,19.55,-71.08,78.8,9.17
358,lakes entrance,90,US,1578095544,93,37.5,-83.94,55.99,10.29
359,tura,100,RU,1578095544,99,64.27,100.22,-6.57,0.56
360,japura,66,ID,1578095544,97,-0.42,102.29,74.12,2.26
361,lafia,72,NG,1578095544,31,8.5,8.51,67.55,4.36
362,lavrentiya,2,RU,1578095544,94,65.58,-170.99,-16.19,9.26
363,weihe,98,CN,1578095544,84,32.99,105.33,31.84,1.52
364,gbarnga,9,LR,1578095545,47,7.0,-9.47,66.11,1.68
365,papara,16,BR,1578095545,69,-3.98,-38.73,86.0,6.93
366,severo-kurilsk,100,RU,1578095545,86,50.68,156.12,23.94,15.75
367,roura,40,GF,1578095545,78,4.73,-52.33,80.6,6.93
368,madingou,100,CG,1578095545,95,-4.17,13.56,73.85,2.3
369,mys shmidta,94,RU,1578095545,94,62.06,48.62,31.44,11.1
370,kaseda,20,JP,1578095545,93,31.42,130.32,42.8,2.24
371,byron bay,90,US,1578095390,93,32.65,-83.76,66.2,12.75
372,santa rosa,25,PH,1578095546,76,17.49,120.43,69.73,4.41
373,osorno,3,CL,1578095247,75,-40.57,-73.14,67.89,7.49
374,billings,40,US,1578095546,35,45.79,-108.5,48.99,11.41
375,sobolevo,48,RU,1578095546,92,54.43,31.9,28.24,10.45
376,guasdualito,80,VE,1578095546,61,7.24,-70.73,82.4,5.37
377,cairns,40,AU,1578095524,79,-16.92,145.77,87.01,5.82
378,sao joao da barra,15,IN,1578095547,81,20.51,76.21,58.95,2.95
379,jumla,98,NP,1578095547,85,29.28,82.18,21.09,3.49
380,kungurtug,0,RU,1578095547,83,50.6,97.53,-1.21,1.9
381,hobyo,1,SO,1578095547,80,5.35,48.53,75.43,12.21
382,fortuna,1,US,1578095547,58,40.6,-124.16,61.0,13.87
383,muli,100,CN,1578095547,87,28.08,109.56,39.7,3.22
384,cockburn town,0,AU,1578095547,30,-32.08,141.0,82.4,25.28
385,victor harbor,90,US,1578095548,92,43.6,-111.11,33.8,4.05
386,dwarka,0,IN,1578095520,87,28.58,77.04,61.0,1.99
387,qasigiannguit,100,GL,1578095548,48,68.82,-51.19,17.6,1.12
388,tekeli,100,KZ,1578095548,69,44.86,78.76,14.29,6.76
